
ENH_SNAVN ENH_SSROBJ_ID ENH_SSR_ID ENH_SNAVN
Nobrinfjellet 244363 745856 Nåebrie
Sapmandalen 244354 745854 Saapmanlåemie
Sapmanelva 244350 246064 Saapmanjohke
Oddvatnet 244345 246059 Njuanasjaevrie
Jetnamsvatnet 244356 745857 Jitnemenjaevrie
Holmvatnet 244365 246079 Såålejaevrie
Sapmanåsen 244349 246063 Saapmannjuenie
Tunnurfjellet 244154 245871 Goevtejieneme
Gaukarelva 244346 246060 Gievkerenjohke
Virmafjellet 244341 246055 Viermetjahke
Mariafjellet 241480 746001 Tjaetsiegaske
Devikvatnet 241429 243159 Dievienjaevrie
Devikvatnet 241429 400007 Duvvienjaevrie
Limingen 236778 238520 Lyjmede
Stortromsvatnet 241382 745999 Bijjie-Trompenjaevrie
Litltromsvatnet 241369 745998 Vuelie-Trompenjaevrie
Gåsvatnet 241368 243098 Gåasajaevrie
Bjørkvassklumpen 241355 745951 Lievkiesåajja
Gudfjelløya 236786 238528 Tjåehkere
Tunnsjøguden 236786 238528 Tjåehkere
Halvvegesvatnet 241353 243083 Njueniesjaevrie
Litlvatnet 241718 243445 Buvriejaevrie
Firklumpen 241331 243061 Apmatjahke
Bjørkvatnet 241318 745921 Såekiesjaevrie
Orrvatnet 241292 243022 Årranjaevrie
Bjørkvasselva 241717 1070420 Såekie-johke
Skardselva 241712 338685 Sealmanjohke
Mykkelvikelva 236739 338585 Mohkelejohke
Vestre_Mykkelvikfjellet 236520 341457 Jamhka
Postskardet 236511 338530 Væjroelåemie
Seterdalen 236979 341507 Sieterdaelie
Storskorovatnet 236625 349480 Gierenetjåalhtenjaevrie
Bjønnhaugen 236507 349478 Seelpen-nuenie
Langløyftvatna 236718 238460 Lievkiesåej-jaevrie
Storgåsvatnet 243923 245641 Stoerrereetjke
Litlgåsvatnet 243924 245642 Ohtjereetjke
Jengelfjellet 244163 745781 Raejsie
Litlåsen 244214 1072037 Lijkie-hagke
Flåttådalen 240990 399979 Pluahtajælla
Snauskallen 240853 399988 Snjaltje
Litlflåtådalsfjellet 241002 242734 Duvriengabpe
Stortromsdalen 241044 242776 Trompenvuemie
Stortromselva 241022 242754 Trompenjohke
Råfjellet 241024 242756 Rååantjahke
Gamma 2625754 1071951 Gåetie
Midter_Kleggtjønna 241315 243045 Golmejaevrie
Kleivtjønna 241291 243021 Aktejaevrie
Stordalsflyan 243950 245668 Freavnanvealma
Øvre_Nesåvatnet 236687 238429 Tjuahkerenjaevrie
Vesterdalen 243947 245665 Stråehpede
Krokvatnet 243935 245653 Skijlevaajjanjaevrie
Grøndalsdomma 236646 238389 Kroentemehkie
Grøndalsvatnet 236639 238382 Kroentejaevrie
Bekkaklumpen 236550 238293 Jihpegeskurje
Domma 240792 242524 Håålannjuenie
