altasasse	dïhte+Pron+Pers+Sg+Ill+PxSg3
jeeneste	jeene+Pron+Indef+Sg+Ela

jeeneste	jeene+A+Sg+Ela
jeeneste	jeene+Pron+Indef+Sg+Ela

jeenh	jeene+A+Pl+Nom
jeenh	jeene+Pron+Indef+Pl+Nom

jeenh	jeene+A+Pl+Nom
jeenh	jeene+Pron+Indef+Pl+Nom

jeeni	jeene+A+Pl+Gen
jeeni	jeene+Pron+Indef+Pl+Gen

jeeni	jeene+A+Pl+Gen
jeeni	jeene+Pron+Indef+Pl+Gen

jeenide	jeene+A+Pl+Ill
jeenide	jeene+A+Pl+Acc
jeenide	jeene+Pron+Indef+Pl+Ill
jeenide	jeene+Pron+Indef+Pl+Acc

jeenide	jeene+A+Pl+Ill
jeenide	jeene+A+Pl+Acc
jeenide	jeene+Pron+Indef+Pl+Ill
jeenide	jeene+Pron+Indef+Pl+Acc

jeenide	jeene+A+Pl+Ill
jeenide	jeene+A+Pl+Acc
jeenide	jeene+Pron+Indef+Pl+Ill
jeenide	jeene+Pron+Indef+Pl+Acc

jeenide	jeene+A+Pl+Ill
jeenide	jeene+A+Pl+Acc
jeenide	jeene+Pron+Indef+Pl+Ill
jeenide	jeene+Pron+Indef+Pl+Acc

jeenigujmie	jeene+A+Pl+Com
jeenigujmie	jeene+A+PlGenCmp#gujmie+N+Sg+Nom
jeenigujmie	jeene+Pron+Indef+Pl+Com

jeenigujmie	jeene+A+Pl+Com
jeenigujmie	jeene+A+PlGenCmp#gujmie+N+Sg+Nom
jeenigujmie	jeene+Pron+Indef+Pl+Com

jeenigujmie	jeene+A+Pl+Com
jeenigujmie	jeene+A+PlGenCmp#gujmie+N+Sg+Nom
jeenigujmie	jeene+Pron+Indef+Pl+Com

jeenijste	jeene+A+Pl+Ela
jeenijste	jeene+Pron+Indef+Pl+Ela

jeenijste	jeene+A+Pl+Ela
jeenijste	jeene+Pron+Indef+Pl+Ela

jeenine	jeene+A+Ess
jeenine	jeene+A+Pl+Ine
jeenine	jeene+A+Sg+Com
jeenine	jeene+Pron+Indef+Ess
jeenine	jeene+Pron+Indef+Pl+Ine
jeenine	jeene+Pron+Indef+Sg+Com

jeenine	jeene+A+Ess
jeenine	jeene+A+Pl+Ine
jeenine	jeene+A+Sg+Com
jeenine	jeene+Pron+Indef+Ess
jeenine	jeene+Pron+Indef+Pl+Ine
jeenine	jeene+Pron+Indef+Sg+Com

jeenine	jeene+A+Ess
jeenine	jeene+A+Pl+Ine
jeenine	jeene+A+Sg+Com
jeenine	jeene+Pron+Indef+Ess
jeenine	jeene+Pron+Indef+Pl+Ine
jeenine	jeene+Pron+Indef+Sg+Com

jeenine	jeene+A+Ess
jeenine	jeene+A+Pl+Ine
jeenine	jeene+A+Sg+Com
jeenine	jeene+Pron+Indef+Ess
jeenine	jeene+Pron+Indef+Pl+Ine
jeenine	jeene+Pron+Indef+Sg+Com

jeenine	jeene+A+Ess
jeenine	jeene+A+Pl+Ine
jeenine	jeene+A+Sg+Com
jeenine	jeene+Pron+Indef+Ess
jeenine	jeene+Pron+Indef+Pl+Ine
jeenine	jeene+Pron+Indef+Sg+Com

jeenine	jeene+A+Ess
jeenine	jeene+A+Pl+Ine
jeenine	jeene+A+Sg+Com
jeenine	jeene+Pron+Indef+Ess
jeenine	jeene+Pron+Indef+Pl+Ine
jeenine	jeene+Pron+Indef+Sg+Com

jeenjem	jeenje+A+Sg+Acc
jeenjem	jeenje+Pron+Indef+Sg+Acc

jeenjem	jeenje+A+Sg+Acc
jeenjem	jeenje+Pron+Indef+Sg+Acc

jeenjen	jeenje+A+Sg+Gen
jeenjen	jeenje+Pron+Indef+Sg+Gen
jeenjen	jeenje+Pron+Indef+Sg+Ill+Attr

jeenjen	jeenje+A+Sg+Gen
jeenjen	jeenje+Pron+Indef+Sg+Gen
jeenjen	jeenje+Pron+Indef+Sg+Ill+Attr

jeenjene	jeenje+A+Sg+Gen+PxSg1
jeenjene	jeenje+Pron+Indef+Sg+Ine+Attr

jeenjese	jeenje+A+Sg+Ill
jeenjese	jeenje+A+Sg+Nom+PxSg3
jeenjese	jeenje+Pron+Indef+Sg+Ill

jeenjese	jeenje+A+Sg+Ill
jeenjese	jeenje+A+Sg+Nom+PxSg3
jeenjese	jeenje+Pron+Indef+Sg+Ill

jeenjesh	jeenjesh+Pron+Coll+Pl+Nom

jeenjesi	jeenjesh+Pron+Coll+Pl+Gen

jeenjesidie	jeenjesh+Pron+Coll+Pl+Ill
jeenjesidie	jeenjesh+Pron+Coll+Pl+Acc

jeenjesidie	jeenjesh+Pron+Coll+Pl+Ill
jeenjesidie	jeenjesh+Pron+Coll+Pl+Acc

jeenjesigujmie	jeenjesh+Pron+Coll+Pl+Com

jeenjesijstie	jeenjesh+Pron+Coll+Pl+Ela

jeenjesinie	jeenjesh+Pron+Coll+Pl+Ine

jeenjesne	jeenje+A+Sg+Ine
jeenjesne	jeenje+Pron+Indef+Sg+Ine

jeenjesne	jeenje+A+Sg+Ine
jeenjesne	jeenje+Pron+Indef+Sg+Ine

jeenjeste	jeenje+A+Sg+Ela
