tjaebpie	tjaebpies+A+Sg+Nom
tjaebpie	tjaebpie+Adv

staalehke	staalehke+N+Sg+Nom
staalehke	staalehke+A+Sg+Nom
staalehke	staalehke+A+Attr

sovre	såvrodh+V+IV+Ind+Prs+Sg3
sovre	sovre+A+Attr

rïektes#laake	rïektes#laake	+?

orresistie	orresistie+Adv

olkemes	olkemes+Adv+Superl

mujhteme	mujhtedh+V+TV+Der/NomAct+N+Sg+Nom
mujhteme	mujhteme+N+Sg+Nom

lujjies#voete	lujjies#voete	+?

laejrie#lihtie	laejrie#lihtie	+?

kraamedidh	kraamedidh+V+TV+Inf
kraamedidh	kraamedidh+V+TV+Ind+Prt+Pl2

kameele	kameele+N+Sg+Nom

jïjtjeraareh	jïjtjeraareh+A+Sg+Nom
jïjtjeraareh	jïjtjeraareh+A+Attr

jupmele-våavkasjimmie	jupmele+N+Cmp/SgNom+Cmp/Hyph+Cmp#våavkasjidh+V+IV+Der/NomAct+N+Sg+Nom
jupmele-våavkasjimmie	jupmeles+A+Cmp/SgNom+Cmp/Hyph+Cmp#våavkasjidh+V+IV+Der/NomAct+N+Sg+Nom
jupmele-våavkasjimmie	jupmele-våavkasjimmie+N+Sg+Nom

jearsoe	jearsoe+N+Sg+Nom

gåetie-#tseegkije	gåetie-#tseegkije	+?

gierkietjoelte	gierkie+N+Cmp/SgNom+Cmp#tjoelte+N+Sg+Nom
gierkietjoelte	gierkietjoelte+N+Sg+Nom

faastoe	faastoe+N+Sg+Nom

etïgke-#vijne	etïgke-#vijne	+?

eesele-#fåala	eesele-#fåala	+?

eeremasth	eeremasth+Adv

ebries	ebries+A+Attr

druvve	druvve+N+Sg+Nom

druvva	druvva+N+Sg+Nom
druvva	druvve+N+Sg+Nom

bïehtsegidh	bïehtsegidh+V+IV+Inf
bïehtsegidh	bïehtsegidh+V+IV+Ind+Prt+Pl2

buerie#sjugniedimmie	buerie#sjugniedimmie	+?

buehkie	buehkie+N+Sg+Nom

vualanidh	vualanidh+V+IV+Inf
vualanidh	vualanidh+V+IV+Ind+Prt+Pl2

voejnge	voejnge+N+Sg+Nom

viesjies#voete	viesjies#voete	+?

tjïjhtjeluhkie	tjïjhtjeluhkie+Num+Sg+Nom

svaajhpe	svaajhpe+N+Sg+Nom

